,User-ID,Age,Country,ISBN,Book-Rating,Avg_Rating,Total_No_Of_Users_Rated,Book-Title,Book-Author,Year-Of-Publication,Publisher
44012,116599,29.0,iran,0515114693,8,8.25,28,Born in Fire,Nora Roberts,1994.0,Jove Books
44013,125774,36.0,iran,0515114693,8,8.25,28,Born in Fire,Nora Roberts,1994.0,Jove Books
44015,153662,44.0,usa,0515114693,9,8.25,28,Born in Fire,Nora Roberts,1994.0,Jove Books
44016,167800,57.0,usa,0515114693,9,8.25,28,Born in Fire,Nora Roberts,1994.0,Jove Books
44017,177374,36.0,usa,0515114693,8,8.25,28,Born in Fire,Nora Roberts,1994.0,Jove Books
44020,200226,39.0,canada,0515114693,7,8.25,28,Born in Fire,Nora Roberts,1994.0,Jove Books
44022,227520,33.0,usa,0515114693,10,8.25,28,Born in Fire,Nora Roberts,1994.0,Jove Books
44024,264082,42.0,usa,0515114693,10,8.25,28,Born in Fire,Nora Roberts,1994.0,Jove Books
44025,273113,18.0,usa,0515114693,5,8.25,28,Born in Fire,Nora Roberts,1994.0,Jove Books
44030,13552,32.0,usa,051512317X,7,8.033333333333333,30,Rising Tides,Nora Roberts,2001.0,Jove Books
44031,40889,37.0,usa,051512317X,10,8.033333333333333,30,Rising Tides,Nora Roberts,2001.0,Jove Books
44035,123883,18.0,usa,051512317X,5,8.033333333333333,30,Rising Tides,Nora Roberts,2001.0,Jove Books
44036,125774,36.0,iran,051512317X,9,8.033333333333333,30,Rising Tides,Nora Roberts,2001.0,Jove Books
44038,135149,36.0,usa,051512317X,8,8.033333333333333,30,Rising Tides,Nora Roberts,2001.0,Jove Books
44039,153662,44.0,usa,051512317X,9,8.033333333333333,30,Rising Tides,Nora Roberts,2001.0,Jove Books
44040,153718,27.0,usa,051512317X,9,8.033333333333333,30,Rising Tides,Nora Roberts,2001.0,Jove Books
44042,194676,36.0,usa,051512317X,6,8.033333333333333,30,Rising Tides,Nora Roberts,2001.0,Jove Books
44043,207349,25.0,usa,051512317X,10,8.033333333333333,30,Rising Tides,Nora Roberts,2001.0,Jove Books
44044,212965,43.0,usa,051512317X,5,8.033333333333333,30,Rising Tides,Nora Roberts,2001.0,Jove Books
44046,218552,48.0,usa,051512317X,8,8.033333333333333,30,Rising Tides,Nora Roberts,2001.0,Jove Books
44048,227520,33.0,usa,051512317X,9,8.033333333333333,30,Rising Tides,Nora Roberts,2001.0,Jove Books
44052,252695,36.0,usa,051512317X,10,8.033333333333333,30,Rising Tides,Nora Roberts,2001.0,Jove Books
44054,264031,34.0,usa,051512317X,8,8.033333333333333,30,Rising Tides,Nora Roberts,2001.0,Jove Books
44055,273113,18.0,usa,051512317X,5,8.033333333333333,30,Rising Tides,Nora Roberts,2001.0,Jove Books
44201,5582,26.0,usa,0312966970,10,8.135922330097088,103,Four To Score (A Stephanie Plum Novel),Janet Evanovich,1999.0,St. Martin's Paperbacks
44202,6575,36.0,usa,0312966970,9,8.135922330097088,103,Four To Score (A Stephanie Plum Novel),Janet Evanovich,1999.0,St. Martin's Paperbacks
44204,7346,49.0,usa,0312966970,8,8.135922330097088,103,Four To Score (A Stephanie Plum Novel),Janet Evanovich,1999.0,St. Martin's Paperbacks
44205,8067,26.0,usa,0312966970,10,8.135922330097088,103,Four To Score (A Stephanie Plum Novel),Janet Evanovich,1999.0,St. Martin's Paperbacks
44207,11676,28.0,nan,0312966970,7,8.135922330097088,103,Four To Score (A Stephanie Plum Novel),Janet Evanovich,1999.0,St. Martin's Paperbacks
44209,16795,47.0,usa,0312966970,8,8.135922330097088,103,Four To Score (A Stephanie Plum Novel),Janet Evanovich,1999.0,St. Martin's Paperbacks
44215,30735,36.0,usa,0312966970,10,8.135922330097088,103,Four To Score (A Stephanie Plum Novel),Janet Evanovich,1999.0,St. Martin's Paperbacks
44216,33974,24.0,usa,0312966970,8,8.135922330097088,103,Four To Score (A Stephanie Plum Novel),Janet Evanovich,1999.0,St. Martin's Paperbacks
44217,37950,33.0,canada,0312966970,8,8.135922330097088,103,Four To Score (A Stephanie Plum Novel),Janet Evanovich,1999.0,St. Martin's Paperbacks
44219,43246,36.0,canada,0312966970,10,8.135922330097088,103,Four To Score (A Stephanie Plum Novel),Janet Evanovich,1999.0,St. Martin's Paperbacks
44220,44252,28.0,usa,0312966970,6,8.135922330097088,103,Four To Score (A Stephanie Plum Novel),Janet Evanovich,1999.0,St. Martin's Paperbacks
44224,60244,47.0,usa,0312966970,9,8.135922330097088,103,Four To Score (A Stephanie Plum Novel),Janet Evanovich,1999.0,St. Martin's Paperbacks
44228,69389,29.0,usa,0312966970,9,8.135922330097088,103,Four To Score (A Stephanie Plum Novel),Janet Evanovich,1999.0,St. Martin's Paperbacks
44236,104636,36.0,usa,0312966970,9,8.135922330097088,103,Four To Score (A Stephanie Plum Novel),Janet Evanovich,1999.0,St. Martin's Paperbacks
44239,110934,46.0,usa,0312966970,9,8.135922330097088,103,Four To Score (A Stephanie Plum Novel),Janet Evanovich,1999.0,St. Martin's Paperbacks
44247,135045,29.0,usa,0312966970,9,8.135922330097088,103,Four To Score (A Stephanie Plum Novel),Janet Evanovich,1999.0,St. Martin's Paperbacks
44250,136382,33.0,canada,0312966970,8,8.135922330097088,103,Four To Score (A Stephanie Plum Novel),Janet Evanovich,1999.0,St. Martin's Paperbacks
44251,140000,32.0,united kingdom,0312966970,9,8.135922330097088,103,Four To Score (A Stephanie Plum Novel),Janet Evanovich,1999.0,St. Martin's Paperbacks
44253,144531,37.0,usa,0312966970,9,8.135922330097088,103,Four To Score (A Stephanie Plum Novel),Janet Evanovich,1999.0,St. Martin's Paperbacks
44254,146113,36.0,usa,0312966970,8,8.135922330097088,103,Four To Score (A Stephanie Plum Novel),Janet Evanovich,1999.0,St. Martin's Paperbacks
44258,158295,36.0,usa,0312966970,7,8.135922330097088,103,Four To Score (A Stephanie Plum Novel),Janet Evanovich,1999.0,St. Martin's Paperbacks
44261,163804,43.0,usa,0312966970,8,8.135922330097088,103,Four To Score (A Stephanie Plum Novel),Janet Evanovich,1999.0,St. Martin's Paperbacks
44264,173415,31.0,usa,0312966970,8,8.135922330097088,103,Four To Score (A Stephanie Plum Novel),Janet Evanovich,1999.0,St. Martin's Paperbacks
44268,179433,42.0,usa,0312966970,9,8.135922330097088,103,Four To Score (A Stephanie Plum Novel),Janet Evanovich,1999.0,St. Martin's Paperbacks
44269,179718,39.0,other,0312966970,9,8.135922330097088,103,Four To Score (A Stephanie Plum Novel),Janet Evanovich,1999.0,St. Martin's Paperbacks
44272,187065,32.0,other,0312966970,7,8.135922330097088,103,Four To Score (A Stephanie Plum Novel),Janet Evanovich,1999.0,St. Martin's Paperbacks
44278,200226,39.0,canada,0312966970,8,8.135922330097088,103,Four To Score (A Stephanie Plum Novel),Janet Evanovich,1999.0,St. Martin's Paperbacks
44281,204457,55.0,usa,0312966970,8,8.135922330097088,103,Four To Score (A Stephanie Plum Novel),Janet Evanovich,1999.0,St. Martin's Paperbacks
44287,218552,48.0,usa,0312966970,6,8.135922330097088,103,Four To Score (A Stephanie Plum Novel),Janet Evanovich,1999.0,St. Martin's Paperbacks
44290,225763,36.0,usa,0312966970,8,8.135922330097088,103,Four To Score (A Stephanie Plum Novel),Janet Evanovich,1999.0,St. Martin's Paperbacks
44292,227520,33.0,usa,0312966970,7,8.135922330097088,103,Four To Score (A Stephanie Plum Novel),Janet Evanovich,1999.0,St. Martin's Paperbacks
44294,241980,35.0,usa,0312966970,10,8.135922330097088,103,Four To Score (A Stephanie Plum Novel),Janet Evanovich,1999.0,St. Martin's Paperbacks
44295,245410,28.0,usa,0312966970,7,8.135922330097088,103,Four To Score (A Stephanie Plum Novel),Janet Evanovich,1999.0,St. Martin's Paperbacks
44296,247447,19.0,usa,0312966970,9,8.135922330097088,103,Four To Score (A Stephanie Plum Novel),Janet Evanovich,1999.0,St. Martin's Paperbacks
44298,258534,32.0,usa,0312966970,9,8.135922330097088,103,Four To Score (A Stephanie Plum Novel),Janet Evanovich,1999.0,St. Martin's Paperbacks
44301,265889,30.0,canada,0312966970,5,8.135922330097088,103,Four To Score (A Stephanie Plum Novel),Janet Evanovich,1999.0,St. Martin's Paperbacks
44304,8067,26.0,usa,0312971346,10,8.352941176470589,85,High Five (A Stephanie Plum Novel),Janet Evanovich,2000.0,St. Martin's Paperbacks
44307,21014,36.0,usa,0312971346,6,8.352941176470589,85,High Five (A Stephanie Plum Novel),Janet Evanovich,2000.0,St. Martin's Paperbacks
44308,21659,31.0,usa,0312971346,10,8.352941176470589,85,High Five (A Stephanie Plum Novel),Janet Evanovich,2000.0,St. Martin's Paperbacks
44311,25981,36.0,usa,0312971346,10,8.352941176470589,85,High Five (A Stephanie Plum Novel),Janet Evanovich,2000.0,St. Martin's Paperbacks
44314,30735,36.0,usa,0312971346,10,8.352941176470589,85,High Five (A Stephanie Plum Novel),Janet Evanovich,2000.0,St. Martin's Paperbacks
44315,35859,36.0,usa,0312971346,9,8.352941176470589,85,High Five (A Stephanie Plum Novel),Janet Evanovich,2000.0,St. Martin's Paperbacks
44316,37208,30.0,usa,0312971346,8,8.352941176470589,85,High Five (A Stephanie Plum Novel),Janet Evanovich,2000.0,St. Martin's Paperbacks
44325,69389,29.0,usa,0312971346,9,8.352941176470589,85,High Five (A Stephanie Plum Novel),Janet Evanovich,2000.0,St. Martin's Paperbacks
44326,76818,49.0,usa,0312971346,8,8.352941176470589,85,High Five (A Stephanie Plum Novel),Janet Evanovich,2000.0,St. Martin's Paperbacks
44328,84024,37.0,usa,0312971346,9,8.352941176470589,85,High Five (A Stephanie Plum Novel),Janet Evanovich,2000.0,St. Martin's Paperbacks
44331,104636,36.0,usa,0312971346,9,8.352941176470589,85,High Five (A Stephanie Plum Novel),Janet Evanovich,2000.0,St. Martin's Paperbacks
44333,110934,46.0,usa,0312971346,9,8.352941176470589,85,High Five (A Stephanie Plum Novel),Janet Evanovich,2000.0,St. Martin's Paperbacks
44340,135045,29.0,usa,0312971346,9,8.352941176470589,85,High Five (A Stephanie Plum Novel),Janet Evanovich,2000.0,St. Martin's Paperbacks
44342,136382,33.0,canada,0312971346,8,8.352941176470589,85,High Five (A Stephanie Plum Novel),Janet Evanovich,2000.0,St. Martin's Paperbacks
44345,146113,36.0,usa,0312971346,9,8.352941176470589,85,High Five (A Stephanie Plum Novel),Janet Evanovich,2000.0,St. Martin's Paperbacks
44346,147847,36.0,usa,0312971346,9,8.352941176470589,85,High Five (A Stephanie Plum Novel),Janet Evanovich,2000.0,St. Martin's Paperbacks
44348,158295,36.0,usa,0312971346,7,8.352941176470589,85,High Five (A Stephanie Plum Novel),Janet Evanovich,2000.0,St. Martin's Paperbacks
44351,177458,29.0,canada,0312971346,8,8.352941176470589,85,High Five (A Stephanie Plum Novel),Janet Evanovich,2000.0,St. Martin's Paperbacks
44352,179433,42.0,usa,0312971346,9,8.352941176470589,85,High Five (A Stephanie Plum Novel),Janet Evanovich,2000.0,St. Martin's Paperbacks
44354,187065,32.0,other,0312971346,8,8.352941176470589,85,High Five (A Stephanie Plum Novel),Janet Evanovich,2000.0,St. Martin's Paperbacks
44360,200226,39.0,canada,0312971346,8,8.352941176470589,85,High Five (A Stephanie Plum Novel),Janet Evanovich,2000.0,St. Martin's Paperbacks
44362,201684,24.0,usa,0312971346,8,8.352941176470589,85,High Five (A Stephanie Plum Novel),Janet Evanovich,2000.0,St. Martin's Paperbacks
44364,204457,55.0,usa,0312971346,8,8.352941176470589,85,High Five (A Stephanie Plum Novel),Janet Evanovich,2000.0,St. Martin's Paperbacks
44370,218568,41.0,usa,0312971346,10,8.352941176470589,85,High Five (A Stephanie Plum Novel),Janet Evanovich,2000.0,St. Martin's Paperbacks
44371,224997,23.0,philippines,0312971346,5,8.352941176470589,85,High Five (A Stephanie Plum Novel),Janet Evanovich,2000.0,St. Martin's Paperbacks
44374,231827,32.0,usa,0312971346,10,8.352941176470589,85,High Five (A Stephanie Plum Novel),Janet Evanovich,2000.0,St. Martin's Paperbacks
44376,240567,33.0,usa,0312971346,9,8.352941176470589,85,High Five (A Stephanie Plum Novel),Janet Evanovich,2000.0,St. Martin's Paperbacks
44378,241980,35.0,usa,0312971346,10,8.352941176470589,85,High Five (A Stephanie Plum Novel),Janet Evanovich,2000.0,St. Martin's Paperbacks
44379,243930,43.0,france,0312971346,9,8.352941176470589,85,High Five (A Stephanie Plum Novel),Janet Evanovich,2000.0,St. Martin's Paperbacks
44380,245410,28.0,usa,0312971346,7,8.352941176470589,85,High Five (A Stephanie Plum Novel),Janet Evanovich,2000.0,St. Martin's Paperbacks
44381,247447,19.0,usa,0312971346,9,8.352941176470589,85,High Five (A Stephanie Plum Novel),Janet Evanovich,2000.0,St. Martin's Paperbacks
44385,258534,32.0,usa,0312971346,10,8.352941176470589,85,High Five (A Stephanie Plum Novel),Janet Evanovich,2000.0,St. Martin's Paperbacks
44412,6543,34.0,usa,0140280553,6,7.277777777777778,36,"Galileo's Daughter: A Historical Memoir of Science, Faith, and Love",Dava Sobel,2000.0,Penguin Books
44414,11676,28.0,nan,0140280553,7,7.277777777777778,36,"Galileo's Daughter: A Historical Memoir of Science, Faith, and Love",Dava Sobel,2000.0,Penguin Books
44416,23571,41.0,usa,0140280553,10,7.277777777777778,36,"Galileo's Daughter: A Historical Memoir of Science, Faith, and Love",Dava Sobel,2000.0,Penguin Books
44421,46398,37.0,usa,0140280553,7,7.277777777777778,36,"Galileo's Daughter: A Historical Memoir of Science, Faith, and Love",Dava Sobel,2000.0,Penguin Books
44427,113519,36.0,usa,0140280553,8,7.277777777777778,36,"Galileo's Daughter: A Historical Memoir of Science, Faith, and Love",Dava Sobel,2000.0,Penguin Books
44428,115003,43.0,usa,0140280553,10,7.277777777777778,36,"Galileo's Daughter: A Historical Memoir of Science, Faith, and Love",Dava Sobel,2000.0,Penguin Books
44431,148258,33.0,canada,0140280553,5,7.277777777777778,36,"Galileo's Daughter: A Historical Memoir of Science, Faith, and Love",Dava Sobel,2000.0,Penguin Books
44441,211344,32.0,usa,0140280553,9,7.277777777777778,36,"Galileo's Daughter: A Historical Memoir of Science, Faith, and Love",Dava Sobel,2000.0,Penguin Books
44458,11676,28.0,nan,0385474016,10,7.440677966101695,59,"Like Water for Chocolate: A Novel in Monthly Installments With Recipes, Romances and Home Remedies",Laura Esquivel,1994.0,Anchor Books/Doubleday
44460,31393,36.0,usa,0385474016,7,7.440677966101695,59,"Like Water for Chocolate: A Novel in Monthly Installments With Recipes, Romances and Home Remedies",Laura Esquivel,1994.0,Anchor Books/Doubleday
44465,56447,22.0,usa,0385474016,8,7.440677966101695,59,"Like Water for Chocolate: A Novel in Monthly Installments With Recipes, Romances and Home Remedies",Laura Esquivel,1994.0,Anchor Books/Doubleday
44471,95359,33.0,usa,0385474016,8,7.440677966101695,59,"Like Water for Chocolate: A Novel in Monthly Installments With Recipes, Romances and Home Remedies",Laura Esquivel,1994.0,Anchor Books/Doubleday
44474,101305,29.0,usa,0385474016,5,7.440677966101695,59,"Like Water for Chocolate: A Novel in Monthly Installments With Recipes, Romances and Home Remedies",Laura Esquivel,1994.0,Anchor Books/Doubleday
44478,128696,34.0,united kingdom,0385474016,9,7.440677966101695,59,"Like Water for Chocolate: A Novel in Monthly Installments With Recipes, Romances and Home Remedies",Laura Esquivel,1994.0,Anchor Books/Doubleday
44482,135045,29.0,usa,0385474016,9,7.440677966101695,59,"Like Water for Chocolate: A Novel in Monthly Installments With Recipes, Romances and Home Remedies",Laura Esquivel,1994.0,Anchor Books/Doubleday
44483,139913,54.0,usa,0385474016,7,7.440677966101695,59,"Like Water for Chocolate: A Novel in Monthly Installments With Recipes, Romances and Home Remedies",Laura Esquivel,1994.0,Anchor Books/Doubleday
44484,141710,36.0,usa,0385474016,6,7.440677966101695,59,"Like Water for Chocolate: A Novel in Monthly Installments With Recipes, Romances and Home Remedies",Laura Esquivel,1994.0,Anchor Books/Doubleday
44485,145449,36.0,usa,0385474016,8,7.440677966101695,59,"Like Water for Chocolate: A Novel in Monthly Installments With Recipes, Romances and Home Remedies",Laura Esquivel,1994.0,Anchor Books/Doubleday
44489,155147,60.0,usa,0385474016,7,7.440677966101695,59,"Like Water for Chocolate: A Novel in Monthly Installments With Recipes, Romances and Home Remedies",Laura Esquivel,1994.0,Anchor Books/Doubleday
44490,162052,51.0,usa,0385474016,10,7.440677966101695,59,"Like Water for Chocolate: A Novel in Monthly Installments With Recipes, Romances and Home Remedies",Laura Esquivel,1994.0,Anchor Books/Doubleday
44494,181176,43.0,usa,0385474016,7,7.440677966101695,59,"Like Water for Chocolate: A Novel in Monthly Installments With Recipes, Romances and Home Remedies",Laura Esquivel,1994.0,Anchor Books/Doubleday
44498,193458,40.0,canada,0385474016,8,7.440677966101695,59,"Like Water for Chocolate: A Novel in Monthly Installments With Recipes, Romances and Home Remedies",Laura Esquivel,1994.0,Anchor Books/Doubleday
44499,201526,25.0,canada,0385474016,6,7.440677966101695,59,"Like Water for Chocolate: A Novel in Monthly Installments With Recipes, Romances and Home Remedies",Laura Esquivel,1994.0,Anchor Books/Doubleday
44506,224349,23.0,usa,0385474016,8,7.440677966101695,59,"Like Water for Chocolate: A Novel in Monthly Installments With Recipes, Romances and Home Remedies",Laura Esquivel,1994.0,Anchor Books/Doubleday
44508,230522,52.0,usa,0385474016,8,7.440677966101695,59,"Like Water for Chocolate: A Novel in Monthly Installments With Recipes, Romances and Home Remedies",Laura Esquivel,1994.0,Anchor Books/Doubleday
44510,245410,28.0,usa,0385474016,8,7.440677966101695,59,"Like Water for Chocolate: A Novel in Monthly Installments With Recipes, Romances and Home Remedies",Laura Esquivel,1994.0,Anchor Books/Doubleday
44511,249628,51.0,usa,0385474016,6,7.440677966101695,59,"Like Water for Chocolate: A Novel in Monthly Installments With Recipes, Romances and Home Remedies",Laura Esquivel,1994.0,Anchor Books/Doubleday
44518,8245,31.0,usa,080213825X,8,5.444444444444445,54,Four Blondes,Candace Bushnell,2001.0,Grove Press
44519,11676,28.0,nan,080213825X,3,5.444444444444445,54,Four Blondes,Candace Bushnell,2001.0,Grove Press
44524,36606,39.0,usa,080213825X,5,5.444444444444445,54,Four Blondes,Candace Bushnell,2001.0,Grove Press
44527,55493,35.0,canada,080213825X,9,5.444444444444445,54,Four Blondes,Candace Bushnell,2001.0,Grove Press
44532,81492,28.0,usa,080213825X,5,5.444444444444445,54,Four Blondes,Candace Bushnell,2001.0,Grove Press
44533,85757,40.0,usa,080213825X,5,5.444444444444445,54,Four Blondes,Candace Bushnell,2001.0,Grove Press
44534,92861,33.0,canada,080213825X,6,5.444444444444445,54,Four Blondes,Candace Bushnell,2001.0,Grove Press
44546,133747,28.0,usa,080213825X,4,5.444444444444445,54,Four Blondes,Candace Bushnell,2001.0,Grove Press
44594,11676,28.0,nan,052594527X,8,8.424242424242424,33,Girl With a Pearl Earring,Tracy Chevalier,1999.0,Dutton Books
44596,22625,54.0,usa,052594527X,10,8.424242424242424,33,Girl With a Pearl Earring,Tracy Chevalier,1999.0,Dutton Books
44597,29526,26.0,usa,052594527X,10,8.424242424242424,33,Girl With a Pearl Earring,Tracy Chevalier,1999.0,Dutton Books
44606,137688,46.0,usa,052594527X,7,8.424242424242424,33,Girl With a Pearl Earring,Tracy Chevalier,1999.0,Dutton Books
44607,141444,32.0,other,052594527X,9,8.424242424242424,33,Girl With a Pearl Earring,Tracy Chevalier,1999.0,Dutton Books
44618,229329,56.0,switzerland,052594527X,10,8.424242424242424,33,Girl With a Pearl Earring,Tracy Chevalier,1999.0,Dutton Books
44624,267033,36.0,usa,052594527X,8,8.424242424242424,33,Girl With a Pearl Earring,Tracy Chevalier,1999.0,Dutton Books
44705,8454,36.0,usa,0375412824,6,7.4363636363636365,55,The Dive From Clausen's Pier (Alex Awards),ANN PACKER,2002.0,Knopf
44706,11676,28.0,nan,0375412824,9,7.4363636363636365,55,The Dive From Clausen's Pier (Alex Awards),ANN PACKER,2002.0,Knopf
44707,13273,36.0,usa,0375412824,10,7.4363636363636365,55,The Dive From Clausen's Pier (Alex Awards),ANN PACKER,2002.0,Knopf
44710,16795,47.0,usa,0375412824,10,7.4363636363636365,55,The Dive From Clausen's Pier (Alex Awards),ANN PACKER,2002.0,Knopf
44713,43246,36.0,canada,0375412824,8,7.4363636363636365,55,The Dive From Clausen's Pier (Alex Awards),ANN PACKER,2002.0,Knopf
44715,52584,45.0,usa,0375412824,10,7.4363636363636365,55,The Dive From Clausen's Pier (Alex Awards),ANN PACKER,2002.0,Knopf
44730,143415,50.0,usa,0375412824,9,7.4363636363636365,55,The Dive From Clausen's Pier (Alex Awards),ANN PACKER,2002.0,Knopf
44742,218568,41.0,usa,0375412824,9,7.4363636363636365,55,The Dive From Clausen's Pier (Alex Awards),ANN PACKER,2002.0,Knopf
44744,224430,36.0,usa,0375412824,8,7.4363636363636365,55,The Dive From Clausen's Pier (Alex Awards),ANN PACKER,2002.0,Knopf
44751,246311,35.0,usa,0375412824,7,7.4363636363636365,55,The Dive From Clausen's Pier (Alex Awards),ANN PACKER,2002.0,Knopf
44752,249111,33.0,canada,0375412824,9,7.4363636363636365,55,The Dive From Clausen's Pier (Alex Awards),ANN PACKER,2002.0,Knopf
44755,268110,36.0,usa,0375412824,7,7.4363636363636365,55,The Dive From Clausen's Pier (Alex Awards),ANN PACKER,2002.0,Knopf
44776,86243,33.5,new zealand,0441005764,6,6.904761904761905,21,"Mossflower (Redwall, Book 2)",Brian Jacques,1998.0,Ace Books
44778,102647,14.0,usa,0441005764,8,6.904761904761905,21,"Mossflower (Redwall, Book 2)",Brian Jacques,1998.0,Ace Books
44779,130554,36.0,usa,0441005764,9,6.904761904761905,21,"Mossflower (Redwall, Book 2)",Brian Jacques,1998.0,Ace Books
44782,165319,28.0,usa,0441005764,6,6.904761904761905,21,"Mossflower (Redwall, Book 2)",Brian Jacques,1998.0,Ace Books
44783,173684,15.0,usa,0441005764,6,6.904761904761905,21,"Mossflower (Redwall, Book 2)",Brian Jacques,1998.0,Ace Books
44785,198930,21.0,usa,0441005764,8,6.904761904761905,21,"Mossflower (Redwall, Book 2)",Brian Jacques,1998.0,Ace Books
44787,226879,31.0,usa,0441005764,7,6.904761904761905,21,"Mossflower (Redwall, Book 2)",Brian Jacques,1998.0,Ace Books
44790,259629,51.0,usa,0441005764,5,6.904761904761905,21,"Mossflower (Redwall, Book 2)",Brian Jacques,1998.0,Ace Books
44791,260183,25.0,canada,0441005764,9,6.904761904761905,21,"Mossflower (Redwall, Book 2)",Brian Jacques,1998.0,Ace Books
44793,265889,30.0,canada,0441005764,7,6.904761904761905,21,"Mossflower (Redwall, Book 2)",Brian Jacques,1998.0,Ace Books
44842,11676,28.0,nan,0671034065,8,6.9,10,Mr. Perfect,Linda Howard,2000.0,Atria
44843,31556,51.0,usa,0671034065,5,6.9,10,Mr. Perfect,Linda Howard,2000.0,Atria
44844,69697,24.0,usa,0671034065,10,6.9,10,Mr. Perfect,Linda Howard,2000.0,Atria
44846,177458,29.0,canada,0671034065,8,6.9,10,Mr. Perfect,Linda Howard,2000.0,Atria
44847,179718,39.0,other,0671034065,9,6.9,10,Mr. Perfect,Linda Howard,2000.0,Atria
44848,182993,40.0,usa,0671034065,7,6.9,10,Mr. Perfect,Linda Howard,2000.0,Atria
44849,207616,53.0,other,0671034065,5,6.9,10,Mr. Perfect,Linda Howard,2000.0,Atria
44874,7125,28.0,usa,0767907817,8,7.75,36,Bookends : A Novel,Jane Green,2003.0,Broadway
44875,13552,32.0,usa,0767907817,4,7.75,36,Bookends : A Novel,Jane Green,2003.0,Broadway
44877,25409,31.0,usa,0767907817,9,7.75,36,Bookends : A Novel,Jane Green,2003.0,Broadway
44878,27617,32.0,canada,0767907817,8,7.75,36,Bookends : A Novel,Jane Green,2003.0,Broadway
44879,28591,33.0,usa,0767907817,8,7.75,36,Bookends : A Novel,Jane Green,2003.0,Broadway
44881,31315,34.0,usa,0767907817,9,7.75,36,Bookends : A Novel,Jane Green,2003.0,Broadway
44887,91113,26.0,usa,0767907817,8,7.75,36,Bookends : A Novel,Jane Green,2003.0,Broadway
44896,144531,37.0,usa,0767907817,8,7.75,36,Bookends : A Novel,Jane Green,2003.0,Broadway
44898,153662,44.0,usa,0767907817,9,7.75,36,Bookends : A Novel,Jane Green,2003.0,Broadway
44899,155219,29.0,usa,0767907817,10,7.75,36,Bookends : A Novel,Jane Green,2003.0,Broadway
44904,235282,43.0,usa,0767907817,7,7.75,36,Bookends : A Novel,Jane Green,2003.0,Broadway
44905,236757,36.0,usa,0767907817,9,7.75,36,Bookends : A Novel,Jane Green,2003.0,Broadway
44910,20172,27.0,usa,0553208845,10,8.5,52,Siddhartha,Hermann Hesse,1981.0,Bantam Classics
44915,43910,43.0,usa,0553208845,10,8.5,52,Siddhartha,Hermann Hesse,1981.0,Bantam Classics
44919,87555,31.0,usa,0553208845,10,8.5,52,Siddhartha,Hermann Hesse,1981.0,Bantam Classics
44922,99441,33.0,usa,0553208845,9,8.5,52,Siddhartha,Hermann Hesse,1981.0,Bantam Classics
44928,137589,35.0,usa,0553208845,9,8.5,52,Siddhartha,Hermann Hesse,1981.0,Bantam Classics
44933,161041,24.0,portugal,0553208845,7,8.5,52,Siddhartha,Hermann Hesse,1981.0,Bantam Classics
44936,169682,26.0,usa,0553208845,9,8.5,52,Siddhartha,Hermann Hesse,1981.0,Bantam Classics
44938,179019,32.0,other,0553208845,9,8.5,52,Siddhartha,Hermann Hesse,1981.0,Bantam Classics
44939,194600,51.0,canada,0553208845,8,8.5,52,Siddhartha,Hermann Hesse,1981.0,Bantam Classics
44942,201042,34.0,usa,0553208845,7,8.5,52,Siddhartha,Hermann Hesse,1981.0,Bantam Classics
44943,204864,47.0,usa,0553208845,9,8.5,52,Siddhartha,Hermann Hesse,1981.0,Bantam Classics
44946,224764,36.0,usa,0553208845,10,8.5,52,Siddhartha,Hermann Hesse,1981.0,Bantam Classics
44950,235282,43.0,usa,0553208845,10,8.5,52,Siddhartha,Hermann Hesse,1981.0,Bantam Classics
44951,243360,36.0,usa,0553208845,7,8.5,52,Siddhartha,Hermann Hesse,1981.0,Bantam Classics
44956,260183,25.0,canada,0553208845,10,8.5,52,Siddhartha,Hermann Hesse,1981.0,Bantam Classics
44958,268030,33.5,new zealand,0553208845,9,8.5,52,Siddhartha,Hermann Hesse,1981.0,Bantam Classics
45015,7158,30.0,usa,0142000205,9,7.27906976744186,129,Icy Sparks,Gwyn Hyman Rubio,2001.0,Penguin Books
45016,8454,36.0,usa,0142000205,7,7.27906976744186,129,Icy Sparks,Gwyn Hyman Rubio,2001.0,Penguin Books
45018,10314,36.0,usa,0142000205,6,7.27906976744186,129,Icy Sparks,Gwyn Hyman Rubio,2001.0,Penguin Books
45019,11676,28.0,nan,0142000205,8,7.27906976744186,129,Icy Sparks,Gwyn Hyman Rubio,2001.0,Penguin Books
45021,16795,47.0,usa,0142000205,9,7.27906976744186,129,Icy Sparks,Gwyn Hyman Rubio,2001.0,Penguin Books
45032,31315,34.0,usa,0142000205,9,7.27906976744186,129,Icy Sparks,Gwyn Hyman Rubio,2001.0,Penguin Books
45038,41841,33.0,canada,0142000205,7,7.27906976744186,129,Icy Sparks,Gwyn Hyman Rubio,2001.0,Penguin Books
45040,44893,36.0,usa,0142000205,8,7.27906976744186,129,Icy Sparks,Gwyn Hyman Rubio,2001.0,Penguin Books
45042,46398,37.0,usa,0142000205,7,7.27906976744186,129,Icy Sparks,Gwyn Hyman Rubio,2001.0,Penguin Books
45045,50895,36.0,usa,0142000205,6,7.27906976744186,129,Icy Sparks,Gwyn Hyman Rubio,2001.0,Penguin Books
45052,65258,42.0,usa,0142000205,7,7.27906976744186,129,Icy Sparks,Gwyn Hyman Rubio,2001.0,Penguin Books
